Date,Year,Scrap,Gas,Rebar,HRCC1,Scrap MXN,Gas MXN,Rebar MXN,HRCC1 MXN,Tipo de cambio,Varilla a distribuidor contado,Varilla Crédito,Precio Mercado
2025-08-17,2025,347.00,2.76,541.00,831,6530.54,51.9432,10181.62,15639.42,18.82,13748.50526,14029.087,14229.087
2025-08-10,2025,347.50,2.92,541.00,832,6512.15,54.7208,10138.34,15591.68,18.74,13709.78947,13989.5811,14189.5811
2025-08-03,2025,351.00,2.99,542.00,835,6521.58,55.5542,10070.36,15514.3,18.58,13729.64211,14009.83888,14209.83888
2025-07-27,2025,348.00,3.08,545.00,847,6563.28,58.0888,10278.7,15974.42,18.86,13817.43158,14099.41998,14299.41998
2025-07-20,2025,345.00,3.11,536.00,871,6396.3,57.6594,9937.44,16148.34,18.54,13465.89474,13740.70892,13940.70892
2025-07-13,2025,347.00,3.57,539.50,875,6502.78,66.9018,10110.23,16397.5,18.74,13690.06316,13969.4522,14169.4522
2025-07-06,2025,344.50,3.31,536.00,877,6421.48,61.6984,9991.04,16347.28,18.64,13518.90526,13794.80129,13994.80129
2025-06-29,2025,345.50,3.41,539.50,885,6436.665,63.5283,10050.885,16487.55,18.63,13550.87368,13827.42213,14027.42213
2025-06-22,2025,342.00,3.74,541.50,883,6439.86,70.4242,10196.445,16626.89,18.83,13557.6,13834.28571,14034.28571
2025-06-15,2025,342.00,3.85,540.50,872,6556.14,73.8045,10361.385,16716.24,19.17,13802.4,14084.08163,14284.08163
2025-06-08,2025,339.00,3.58,541.50,862,6427.44,67.8768,10266.84,16343.52,18.96,13531.45263,13807.60473,14007.60473
2025-06-01,2025,337.00,3.78,546.00,878,6443.44,72.2736,10439.52,16787.36,19.12,13565.13684,13841.97637,14041.97637
2025-05-25,2025,337.50,3.52,549.50,840,6557.625,68.3936,10676.785,16321.2,19.43,13805.52632,14087.27175,14287.27175
2025-05-18,2025,340.50,3.33,550.50,903,6551.22,64.0692,10591.62,17373.72,19.24,13792.04211,14073.51235,14273.51235
2025-05-11,2025,342.50,3.33,549.00,895,6668.475,64.8351,10689.03,17425.65,19.47,14038.89474,14325.40279,14525.40279
2025-05-04,2025,341.50,3.80,539.00,890,6645.59,73.948,10488.94,17319.4,19.46,13990.71579,14276.2406,14476.2406
2025-04-27,2025,338.50,3.95,539.50,874,6627.83,77.341,10563.41,17112.92,19.58,13953.32632,14238.08808,14438.08808
2025-04-20,2025,348.00,2.94,554.50,944,6789.48,57.3594,10818.295,18417.44,19.51,14293.64211,14585.34909,14785.34909
2025-04-13,2025,359.50,3.25,566.50,940,7096.53,64.155,11182.71,18555.6,19.74,14940.06316,15244.96241,15444.96241
2025-04-06,2025,363.50,3.53,565.00,938,7389.955,71.7649,11486.45,19069.54,20.33,15557.8,15875.30612,16075.30612
2025-03-30,2025,370.00,3.95,565.50,932,7555.4,80.659,11547.51,19031.44,20.42,15906.10526,16230.71966,16430.71966
2025-03-23,2025,375.00,4.07,573.00,890,7631.25,82.8245,11660.55,18111.5,20.35,16065.78947,16393.66273,16593.66273
2025-03-16,2025,375.00,3.98,573.50,937,7582.5,80.4756,11596.17,18946.14,20.22,15963.15789,16288.93663,16488.93663
2025-03-09,2025,377.00,4.10,576.00,939,7506.07,81.631,11468.16,18695.49,19.91,15802.25263,16124.74758,16324.74758
2025-03-02,2025,372.00,4.45,572.50,925,7529.28,90.068,11587.4,18722,20.24,15851.11579,16174.60795,16374.60795
2025-02-23,2025,366.50,3.83,573.50,912,7524.245,78.6299,11773.955,18723.36,20.53,15840.51579,16163.79162,16363.79162
2025-02-16,2025,356.00,4.23,568.50,778,7265.96,86.3343,11603.085,15878.98,20.41,15296.75789,15608.93663,15808.93663
2025-02-09,2025,357.00,3.73,568.00,768,7243.53,75.6817,11524.72,15582.72,20.29,15249.53684,15560.75188,15760.75188
2025-02-02,2025,360.00,3.31,566.50,755,7405.2,68.0867,11652.905,15530.35,20.57,15589.89474,15908.05585,16108.05585
2025-01-26,2025,364.00,3.04,576.50,740,7527.52,62.8672,11922.02,15303.2,20.68,15847.41053,16170.82707,16370.82707
2025-01-19,2025,343.00,4.03,558.00,688,6949.18,81.6478,11305.08,13938.88,20.26,14629.85263,14928.42105,15128.42105
2025-01-12,2025,343.00,3.95,556.00,695,7127.54,82.081,11553.68,14442.1,20.78,15005.34737,15311.57895,15511.57895
2025-01-05,2025,343.00,3.99,560.00,704,7100.1,82.593,11592,14572.8,20.70,14947.57895,15252.63158,15452.63158
2024-12-29,2024,346.50,3.35,569.50,708,7144.83,69.077,11743.09,14598.96,20.62,15041.74737,15348.7218,15548.7218
2024-12-22,2024,343.00,3.51,564.00,730,6966.33,71.2881,11454.84,14826.3,20.31,14665.95789,14965.26316,15165.26316
2024-12-15,2024,344.00,3.75,565.50,679,6897.2,75.1875,11338.275,13613.95,20.05,14520.42105,14816.75618,15016.75618
2024-12-08,2024,344.00,3.28,561.00,675,6921.28,65.9936,11287.32,13581,20.12,14571.11579,14868.4855,15068.4855
2024-12-01,2024,338.00,2.93,563.00,689,6824.22,59.1567,11366.97,13910.91,20.19,14366.77895,14659.97852,14859.97852
2024-11-24,2024,340.00,3.36,563.00,700,6922.4,68.4096,11462.68,14252,20.36,14573.47368,14870.89151,15070.89151
2024-11-17,2024,352.00,3.13,578.50,680,7180.8,63.852,11801.4,13872,20.40,15117.47368,15425.99356,15625.99356
2024-11-10,2024,361.50,2.82,586.00,691,7338.45,57.246,11895.8,14027.3,20.30,15449.36842,15764.66165,15964.66165
2024-11-03,2024,370.00,2.67,590.00,707,7462.9,53.8539,11900.3,14260.19,20.17,15711.36842,16032.00859,16232.00859
2024-10-27,2024,375.00,2.66,594.00,714,7601.25,53.9182,12040.38,14472.78,20.27,16002.63158,16329.2159,16529.2159
2024-10-20,2024,375.50,2.56,595.50,704,7491.225,51.072,11880.225,14044.8,19.95,15771,16092.85714,16292.85714
2024-10-13,2024,375.50,2.26,592.50,705,7453.675,44.861,11761.125,13994.25,19.85,15691.94737,16012.19119,16212.19119
2024-10-06,2024,383.50,2.63,595.50,705,7386.21,50.6538,11469.33,13578.3,19.26,15549.91579,15867.26101,16067.26101
2024-09-29,2024,395.00,2.85,605.50,724,7607.7,54.891,11661.93,13944.24,19.26,16016.21053,16343.07197,16543.07197
